,TIME_PERIOD,OBS_VALUE,PERCENT_CHANGE
1,2001,7253522.31,0.0
0,2002,7293277.74,0.5480844795251018
43,2003,7352702.36,1.3673363886020882
5,2004,7464364.92,2.9067617219474764
4,2005,7477358.36,3.0858945548621435
3,2006,7407921.5,2.1286098450009514
25,2007,7511447.96,3.555867604410806
9,2008,7294541.72,0.5655102203718203
8,2009,6840741.54,-5.690763085279593
6,2010,7058197.91,-2.6928213859729544
21,2011,6907203.24,-4.774495137659533
20,2012,6670533.53,-8.037319733562649
19,2013,6841661.09,-5.678085796085457
18,2014,6898525.6,-4.894128601639332
17,2015,6737358.64,-7.11604166831328
16,2016,6578432.36,-9.307063811870998
15,2017,6561824.44,-9.536027331802599
14,2018,6754831.65,-6.875151666832045
13,2019,6617916.88,-8.76271420746481
12,2020,6025973.61,-16.92348417137493
27,2021,6340228.29,-12.59104171694482
7,2022,6343200.0,-12.550072517802729
