,TIME_PERIOD,OBS_VALUE,PERCENT_CHANGE
26,2001,98171.78,0.0
11,2002,103783.53,5.716255730516448
10,2003,98122.91,-0.049780089553225326
2,2004,106706.35,8.693506423128936
24,2005,109261.35,11.296087327743274
23,2006,113206.3,15.314502803147711
22,2007,123357.35,25.6545923889737
42,2008,127381.18,29.753356820055615
41,2009,127279.68,29.64996661973532
40,2010,135113.79,37.629968612161264
39,2011,138183.62,40.75696702249873
38,2012,137205.39,39.76051977462364
37,2013,137522.78,40.08382042171385
36,2014,141872.59,44.51463546856337
35,2015,144455.49,47.145635945482496
34,2016,144033.21,46.71549196724353
33,2017,145330.48,48.036920589603255
32,2018,144940.18,47.63935216413515
31,2019,149355.43,52.136825878068
30,2020,152280.0,55.115859160341195
29,2021,158774.99,61.73180317195022
28,2022,182800.0,86.20422284285769
